id,name,segment,state,city
RL-19615,Rob Lucas,Consumer,Alabama,Montgomery
AA-10375,Allen Armold,Consumer,Arizona,Mesa
EP-13915,Emily Phan,Consumer,Illinois,Chicago
DK-12985,Darren Koutras,Consumer,Kentucky,Henderson
BD-11500,Bradley Drucker,Consumer,Wisconsin,Green Bay
LM-17065,Liz MacKendrick,Consumer,Ohio,Springfield
AS-10135,Adrian Shami,Home Office,New York,New York City
BD-11320,Bill Donatelli,Consumer,California,San Francisco
GT-14710,Greg Tran,Consumer,Texas,Houston
AJ-10945,Ashley Jarboe,Consumer,North Carolina,Wilmington
OT-18730,Olvera Toch,Consumer,California,Los Angeles
LP-17080,Liz Pelletier,Consumer,California,San Francisco
CA-12775,Cynthia Arntzen,Consumer,Florida,Tampa
JF-15490,Jeremy Farry,Consumer,Washington,Seattle
FP-14320,Frank Preis,Consumer,California,Los Angeles
EB-13840,Ellis Ballard,Corporate,Washington,Seattle
JF-15415,Jennifer Ferguson,Consumer,New York,New York City
SF-20200,Sarah Foster,Consumer,Washington,Marysville
TG-21640,Trudy Glocke,Consumer,California,Long Beach
CS-11950,Carlos Soltero,Consumer,Illinois,Chicago
CC-12145,Charles Crestani,Consumer,California,Los Angeles
DV-13465,Dianna Vittorini,Consumer,Colorado,Denver
BD-11725,Bruce Degenhardt,Consumer,Kentucky,Richmond
ZC-21910,Zuschuss Carroll,Consumer,Oregon,Salem
MS-17830,Melanie Seite,Consumer,Texas,Laredo
LR-16915,Lena Radford,Consumer,California,San Diego
TP-21130,Theone Pippenger,Consumer,Pennsylvania,Philadelphia
CK-12205,Chloris Kastensmidt,Consumer,Pennsylvania,Philadelphia
AS-10240,Alan Shonely,Consumer,Florida,Tampa
AR-10510,Andrew Roberts,Consumer,Pennsylvania,Philadelphia
NB-18655,Nona Balk,Corporate,Texas,Dallas
GD-14590,Giulietta Dortch,Corporate,Pennsylvania,Philadelphia
CK-12595,Clytie Kelty,Consumer,Ohio,Grove City
NG-18355,Nat Gilpin,Corporate,New York,New York City
CA-12265,Christina Anderson,Consumer,Illinois,Chicago
SF-20965,Sylvia Foulston,Corporate,Michigan,Dearborn
MO-17800,Meg O'Connel,Home Office,New York,New York City
AT-10735,Annie Thurman,Consumer,Washington,Seattle
FM-14380,Fred McMath,Consumer,Colorado,Aurora
DJ-13420,Denny Joy,Corporate,Georgia,Warner Robins
ME-17725,Max Engle,Consumer,Colorado,Aurora
JD-16150,Justin Deggeller,Corporate,Minnesota,Minneapolis
JL-15835,John Lee,Consumer,California,Mission Viejo
SC-20305,Sean Christensen,Consumer,Michigan,Rochester Hills
CC-12430,Chuck Clark,Home Office,Indiana,Columbus
AR-10825,Anthony Rawles,Corporate,Washington,Vancouver
SR-20740,Steven Roelle,Home Office,New York,New York City
CR-12730,Craig Reiter,Consumer,Ohio,Columbus
EH-14125,Eugene Hildebrand,Home Office,Illinois,Aurora
SP-20545,Sibella Parks,Corporate,New York,New York City
TH-21235,Tiffany House,Corporate,Texas,Dallas
RP-19390,Resi Polking,Consumer,Ohio,Cleveland
RB-19570,Rob Beeghly,Consumer,Indiana,Columbus
CD-11980,Carol Darley,Consumer,Texas,Tyler
DJ-13630,Doug Jacobs,Consumer,New York,New York City
GT-14635,Grant Thornton,Corporate,North Carolina,Burlington
MC-17845,Michael Chen,Consumer,Mississippi,Jackson
RA-19285,Ralph Arnett,Consumer,New York,New York City
NP-18325,Naresj Patel,Consumer,Virginia,Waynesboro
AB-10165,Alan Barnes,Consumer,California,Los Angeles
JO-15550,Jesus Ocampo,Home Office,Pennsylvania,Chester
JK-15370,Jay Kimmel,Consumer,California,Long Beach
BN-11470,Brad Norvell,Corporate,North Carolina,Cary
DP-13165,David Philippe,Consumer,New York,New York City
TH-21550,Tracy Hopkins,Home Office,New York,New York City
AP-10915,Arthur Prichep,Consumer,Florida,Palm Coast
RS-19765,Roland Schwarz,Corporate,New York,Mount Vernon
SV-20365,Seth Vernon,Consumer,Delaware,Dover
CK-12325,Christine Kargatis,Home Office,Utah,Orem
RD-19810,Ross DeVincentis,Home Office,California,Los Angeles
MR-17545,Mathew Reese,Home Office,Pennsylvania,Philadelphia
SC-20695,Steve Chapman,Corporate,Florida,Hialeah
JF-15355,Jay Fein,Consumer,Texas,Austin
EG-13900,Emily Grady,Consumer,New York,Oceanside
DS-13030,Darrin Sayre,Home Office,Washington,Seattle
PO-19195,Phillina Ober,Home Office,Illinois,Naperville
SS-20875,Sung Shariari,Consumer,Texas,Dallas
PB-19105,Peter Buhler,Consumer,Illinois,Evanston
RF-19735,Roland Fjeld,Consumer,Michigan,Trenton
YC-21895,Yoseph Carroll,Corporate,California,San Francisco
DC-13285,Debra Catini,Consumer,Minnesota,Cottage Grove
CP-12340,Christine Phan,Corporate,New York,New York City
BF-11020,Barry Franzosisch,Corporate,Wisconsin,Green Bay
LH-17020,Lisa Hazard,Consumer,Ohio,Columbus
CS-12250,Chris Selesnick,Corporate,Louisiana,Bossier City
AJ-10795,Anthony Johnson,Corporate,Florida,Saint Petersburg
BV-11245,Benjamin Venier,Corporate,Iowa,Des Moines
DL-12865,Dan Lawera,Consumer,Ohio,Cincinnati
BM-11785,Bryan Mills,Consumer,Ohio,Columbus
LT-17110,Liz Thompson,Consumer,California,Lancaster
JK-15730,Joe Kamberova,Consumer,North Carolina,Asheville
ES-14020,Erica Smith,Consumer,California,San Francisco
RH-19495,Rick Hansen,Consumer,Minnesota,Rochester
CD-11920,Carlos Daly,Consumer,California,Lake Elsinore
HW-14935,Helen Wasserman,Corporate,California,San Diego
MC-18130,Mike Caudle,Corporate,Louisiana,Monroe
GM-14440,Gary McGarr,Consumer,California,San Francisco
PJ-19015,Pauline Johnson,Consumer,California,Santa Ana
BW-11110,Bart Watters,Corporate,Wisconsin,Milwaukee
TR-21325,Toby Ritter,Consumer,New Jersey,Belleville
PG-18820,Patrick Gardner,Consumer,California,San Francisco
JL-15175,James Lanier,Home Office,Tennessee,Columbia
BM-11650,Brian Moss,Corporate,New York,New York City
EM-14095,Eudokia Martin,Corporate,California,Los Angeles
AF-10885,Art Foster,Consumer,Kentucky,Louisville
GA-14725,Guy Armstrong,Consumer,Ohio,Lorain
CK-12760,Cyma Kinney,Corporate,New Jersey,Linden
DP-13105,Dave Poirier,Corporate,California,Salinas
BK-11260,Berenike Kampe,Consumer,New York,New York City
SJ-20125,Sanjit Jacobs,Home Office,New Jersey,New Brunswick
CM-12445,Chuck Magee,Consumer,California,San Francisco
AJ-10780,Anthony Jacobs,Corporate,Virginia,Springfield
LS-16945,Linda Southworth,Corporate,Pennsylvania,Philadelphia
GP-14740,Guy Phonely,Corporate,Pennsylvania,Lancaster
PK-18910,Paul Knutson,Home Office,Pennsylvania,Philadelphia
SM-20005,Sally Matthias,Consumer,New York,New York City
AG-10765,Anthony Garverick,Home Office,Pennsylvania,Philadelphia
PM-19135,Peter McVee,Home Office,Michigan,Detroit
LL-16840,Lauren Leatherbury,Consumer,New York,Rochester
JS-15595,Jill Stevenson,Corporate,California,Los Angeles
EL-13735,Ed Ludwig,Home Office,Maryland,Columbia
PC-18745,Pamela Coakley,Corporate,California,San Francisco
HL-15040,Hunter Lopez,Consumer,Texas,Houston
MS-17365,Maribeth Schnelling,Consumer,Michigan,Detroit
GB-14530,George Bell,Corporate,New York,Auburn
JR-16210,Justin Ritter,Corporate,Ohio,Springfield
BE-11335,Bill Eplett,Home Office,Michigan,Jackson
SC-20050,Sample Company A,Home Office,Connecticut,Norwich
RW-19630,Rob Williams,Corporate,Texas,Dallas
SE-20110,Sanjit Engle,Consumer,New York,New York City
AH-10075,Adam Hart,Corporate,New York,New York City
JM-15535,Jessica Myrick,Consumer,Pennsylvania,Philadelphia
JJ-15760,Joel Jenkins,Home Office,Virginia,Springfield
RK-19300,Ralph Kennedy,Consumer,Pennsylvania,Philadelphia
CG-12040,Catherine Glotzbach,Home Office,Pennsylvania,Philadelphia
RP-19270,Rachel Payne,Corporate,California,Riverside
KC-16255,Karen Carlisle,Corporate,California,San Francisco
KH-16360,Katherine Hughes,Consumer,Pennsylvania,Philadelphia
GH-14665,Greg Hansen,Consumer,Texas,Round Rock
SW-20275,Scott Williamson,Consumer,Mississippi,Jackson
JA-15970,Joseph Airdo,Consumer,Arizona,Phoenix
DL-12925,Daniel Lacy,Consumer,California,Oceanside
LW-16990,Lindsay Williams,Corporate,California,San Francisco
TB-21190,Thomas Brumley,Home Office,Arkansas,Fayetteville
BS-11800,Bryan Spruell,Home Office,New York,New York City
RW-19690,Robert Waldorf,Consumer,North Carolina,Wilmington
TZ-21580,Tracy Zic,Consumer,Colorado,Louisville
AS-10630,Ann Steele,Home Office,Texas,Pasadena
TS-21340,Toby Swindell,Consumer,Texas,Houston
SL-20155,Sara Luxemburg,Home Office,Florida,Jacksonville
MW-18235,Mitch Willingham,Corporate,Virginia,Virginia Beach
RD-19585,Rob Dowd,Consumer,Kentucky,Henderson
RA-19945,Ryan Akin,Consumer,California,Murrieta
MT-17815,Meg Tillman,Consumer,Arizona,Scottsdale
VG-21790,Vivek Gonzalez,Consumer,California,San Diego
JS-15880,John Stevenson,Consumer,Washington,Seattle
KM-16225,Kalyca Meade,Corporate,New York,New York City
HR-14770,Hallie Redmond,Home Office,California,Los Angeles
DE-13255,Deanra Eno,Home Office,Ohio,Springfield
AG-10390,Allen Goldenen,Consumer,Ohio,Cincinnati
JJ-15445,Jennifer Jackson,Consumer,California,Los Angeles
JH-15430,Jennifer Halladay,Consumer,North Carolina,Burlington
RD-19660,Robert Dilbeck,Home Office,Missouri,Saint Peters
MO-17500,Mary O'Rourke,Consumer,New York,New York City
NS-18640,Noel Staavos,Corporate,Illinois,Chicago
DG-13300,Deirdre Greer,Corporate,Pennsylvania,Philadelphia
NF-18595,Nicole Fjeld,Home Office,New York,New York City
MG-17650,Matthew Grinstein,Home Office,Pennsylvania,Philadelphia
TS-21160,Theresa Swint,Corporate,Ohio,Toledo
BD-11620,Brian DeCherney,Consumer,California,San Francisco
CM-12160,Charles McCrossin,Consumer,Texas,Brownsville
SN-20560,Skye Norling,Home Office,California,Los Angeles
EH-14005,Erica Hernandez,Home Office,Colorado,Denver
FO-14305,Frank Olsen,Consumer,New York,New York City
MS-17710,Maurice Satty,Consumer,Arizona,Mesa
CC-12100,Chad Cunningham,Home Office,Indiana,Columbus
DW-13540,Don Weiss,Consumer,Washington,Seattle
BT-11395,Bill Tyler,Corporate,Michigan,Detroit
CY-12745,Craig Yedwab,Corporate,California,Oakland
BT-11485,Brad Thomas,Home Office,Maryland,Clinton
PS-19045,Penelope Sewall,Home Office,North Carolina,Charlotte
PV-18985,Paul Van Hugh,Home Office,California,San Francisco
NM-18520,Neoma Murray,Consumer,California,Riverside
DL-13495,Dionis Lloyd,Corporate,California,San Francisco
CS-12355,Christine Sundaresam,Consumer,Georgia,Roswell
FH-14275,Frank Hawley,Corporate,Indiana,La Porte
NC-18340,Nat Carroll,Consumer,Michigan,Lansing
AA-10315,Alex Avila,Consumer,Minnesota,Minneapolis
LT-16765,Larry Tron,Consumer,California,Escondido
AP-10720,Anne Pryor,Home Office,New York,New York City
PM-18940,Paul MacIntyre,Consumer,Michigan,Jackson
AT-10435,Alyssa Tate,Home Office,California,Los Angeles
CA-12055,Cathy Armstrong,Home Office,Texas,Houston
HR-14830,Harold Ryan,Corporate,Washington,Seattle
BT-11530,Bradley Talbott,Home Office,California,Los Angeles
LH-16750,Larry Hughes,Consumer,North Carolina,Charlotte
SW-20755,Steven Ward,Corporate,New York,New York City
SP-20620,Stefania Perrino,Corporate,Pennsylvania,Philadelphia
BF-11170,Ben Ferrer,Home Office,California,Los Angeles
KT-16480,Kean Thornton,Consumer,New York,Buffalo
BG-11695,Brooke Gillingham,Corporate,Ohio,Cincinnati
GM-14680,Greg Matthias,Consumer,Washington,Seattle
EJ-14155,Eva Jacobs,Consumer,Mississippi,Gulfport
NP-18700,Nora Preis,Consumer,California,Fresno
MH-18115,Mick Hernandez,Home Office,Pennsylvania,Chester
JR-15700,Jocasta Rupert,Consumer,Florida,Jacksonville
SM-20950,Suzanne McNair,Corporate,North Carolina,Greenville
CC-12220,Chris Cortes,Consumer,Indiana,La Porte
PF-19225,Phillip Flathmann,Consumer,California,San Francisco
DC-12850,Dan Campbell,Consumer,Alabama,Florence
BD-11770,Bryan Davis,Consumer,Texas,Houston
GM-14500,Gene McClure,Consumer,Rhode Island,Providence
TB-21355,Todd Boyes,Corporate,New York,New York City
JH-16180,Justin Hirsh,Consumer,Colorado,Pueblo
EB-13975,Erica Bern,Corporate,California,Fairfield
QJ-19255,Quincy Jones,Corporate,Minnesota,Saint Paul
TC-21535,Tracy Collins,Home Office,Virginia,Arlington
CS-12460,Chuck Sachs,Consumer,Georgia,Columbus
HG-14965,Henry Goldwyn,Corporate,California,Los Angeles
LW-16825,Laurel Workman,Corporate,Florida,Deltona
MC-17575,Matt Collins,Consumer,Ohio,Cincinnati
LP-17095,Liz Preis,Consumer,Kentucky,Murray
EB-14170,Evan Bailliet,Consumer,North Carolina,Wilmington
GZ-14545,George Zrebassa,Corporate,Massachusetts,Lawrence
CP-12085,Cathy Prescott,Corporate,Connecticut,Norwich
FG-14260,Frank Gastineau,Home Office,California,San Francisco
LD-17005,Lisa DeCherney,Consumer,California,San Francisco
AB-10255,Alejandro Ballentine,Home Office,Ohio,Lorain
MN-17935,Michael Nguyen,Consumer,Texas,Dallas
JR-15670,Jim Radford,Consumer,Connecticut,Middletown
JF-15190,Jamie Frazer,Consumer,California,Los Angeles
CM-12115,Chad McGuire,Consumer,New York,New York City
AS-10045,Aaron Smayling,Corporate,North Carolina,Jacksonville
BP-11290,Beth Paige,Consumer,Illinois,Evanston
ND-18370,Natalie DeCherney,Consumer,Kentucky,Louisville
LB-16735,Larry Blacks,Consumer,Texas,Fort Worth
KT-16465,Kean Takahito,Consumer,California,Los Angeles
HM-14860,Harry Marie,Corporate,Pennsylvania,Philadelphia
AB-10600,Ann Blume,Corporate,Arizona,Tucson
SZ-20035,Sam Zeldin,Home Office,California,Pico Rivera
MG-17890,Michael Granlund,Home Office,Maryland,Clinton
JK-16120,Julie Kriz,Home Office,Illinois,Aurora
PP-18955,Paul Prost,Home Office,Georgia,Smyrna
YS-21880,Yana Sorensen,Corporate,North Carolina,Burlington
KM-16375,Katherine Murray,Home Office,Virginia,Salem
AB-10105,Adrian Barton,Consumer,Arizona,Phoenix
HA-14905,Helen Abelman,Consumer,New York,New York City
BT-11305,Beth Thompson,Home Office,California,Costa Mesa
SV-20815,Stuart Van,Corporate,Texas,Houston
RW-19540,Rick Wilson,Corporate,Arizona,Mesa
DK-12835,Damala Kotsonis,Corporate,California,Salinas
ST-20530,Shui Tom,Consumer,Ohio,Parma
MM-17920,Michael Moore,Consumer,California,San Francisco
PW-19030,Pauline Webber,Corporate,Kentucky,Richmond
SC-20440,Shaun Chance,Corporate,Colorado,Aurora
TS-21085,Thais Sissman,Consumer,Arizona,Phoenix
MC-17425,Mark Cousins,Corporate,Alabama,Mobile
ME-17320,Maria Etezadi,Home Office,Georgia,Columbus
NH-18610,Nicole Hansen,Corporate,Texas,Irving
MB-18085,Mick Brown,Consumer,New Jersey,Vineland
KD-16495,Keith Dawkins,Corporate,New York,New York City
KN-16390,Katherine Nockton,Corporate,California,Los Angeles
NP-18685,Nora Pelletier,Home Office,New York,Niagara Falls
